Entry_dt,Bookings
2021-04-11,1
2021-04-18,4
2021-04-25,3
2021-05-02,5
2021-05-09,5
2021-05-16,7
2021-05-23,5
2021-05-30,9
2021-06-06,11
2021-06-13,20
2021-06-20,35
2021-06-27,14
2021-07-04,9
2021-07-11,4
2021-07-18,7
2021-07-25,7
2021-08-01,12
2021-08-08,11
2021-08-15,17
2021-08-22,33
2021-08-29,17
2021-09-05,19
2021-09-12,21
2021-09-19,28
2021-09-26,20
2021-10-03,34
2021-10-10,26
2021-10-17,35
2021-10-24,25
2021-10-31,33
2021-11-07,31
2021-11-14,18
2021-11-21,24
2021-11-28,36
2021-12-05,45
2021-12-12,57
2021-12-19,78
2021-12-26,86
2022-01-02,75
2022-01-09,85
2022-01-16,141
2022-01-23,84
2022-01-30,70
2022-02-06,74
2022-02-13,86
2022-02-20,100
2022-02-27,117
2022-03-06,132
2022-03-13,123
2022-03-20,110
2022-03-27,147
2022-04-03,126
2022-04-10,158
2022-04-17,196
2022-04-24,203
2022-05-01,224
2022-05-08,245
2022-05-15,231
2022-05-22,180
2022-05-29,243
2022-06-05,226
2022-06-12,508
2022-06-19,569
2022-06-26,337
2022-07-03,185
2022-07-10,228
2022-07-17,206
2022-07-24,308
2022-07-31,326
2022-08-07,228
2022-08-14,235
2022-08-21,275
2022-08-28,403
2022-09-04,238
2022-09-11,256
2022-09-18,212
2022-09-25,219
2022-10-02,287
2022-10-09,322
2022-10-16,332
2022-10-23,220
2022-10-30,289
2022-11-06,265
2022-11-13,333
2022-11-20,368
2022-11-27,404
2022-12-04,492
2022-12-11,474
2022-12-18,437
2022-12-25,292
2023-01-01,320
2023-01-08,239
2023-01-15,237
2023-01-22,236
2023-01-29,227
2023-02-05,247
2023-02-12,287
2023-02-19,244
2023-02-26,253
2023-03-05,302
2023-03-12,291
2023-03-19,314
2023-03-26,241
2023-04-02,274
2023-04-09,235
2023-04-16,298
2023-04-23,392
2023-04-30,421
2023-05-07,408
2023-05-14,322
2023-05-21,159
2023-05-28,382
2023-06-04,424
2023-06-11,681
2023-06-18,958
2023-06-25,626
2023-07-02,349
2023-07-09,406
2023-07-16,803
2023-07-23,430
2023-07-30,519
2023-08-06,538
2023-08-13,604
2023-08-20,541
2023-08-27,918
2023-09-03,523
2023-09-10,511
2023-09-17,562
2023-09-24,578
2023-10-01,621
2023-10-08,778
2023-10-15,673
2023-10-22,610
2023-10-29,838
2023-11-05,850
2023-11-12,904
2023-11-19,1006
2023-11-26,1035
2023-12-03,1512
2023-12-10,1510
2023-12-17,1107
2023-12-24,1128
2023-12-31,843
2024-01-07,827
2024-01-14,828
2024-01-21,727
2024-01-28,894
2024-02-04,869
2024-02-11,895
2024-02-18,896
2024-02-25,946
2024-03-03,935
2024-03-10,1118
2024-03-17,802
2024-03-24,841
2024-03-31,951
2024-04-07,986
2024-04-14,854
2024-04-21,905
2024-04-28,1260
2024-05-05,1108
2024-05-12,969
2024-05-19,711
2024-05-26,679
2024-06-02,842
2024-06-09,1344
2024-06-16,2332
2024-06-23,1601
2024-06-30,1485
2024-07-07,1096
2024-07-14,919
2024-07-21,876
2024-07-28,1458
2024-08-04,1005
2024-08-11,978
2024-08-18,1047
2024-08-25,1572
2024-09-01,1033
2024-09-08,974
2024-09-15,942
2024-09-22,777
2024-09-29,911
2024-10-06,985
2024-10-13,972
2024-10-20,1025
2024-10-27,987
2024-11-03,1065
2024-11-10,1184
2024-11-17,1398
2024-11-24,1794
2024-12-01,1836
2024-12-08,1831
2024-12-15,1401
2024-12-22,1246
2024-12-29,1124
2025-01-05,1155
2025-01-12,1164
2025-01-19,902
2025-01-26,1014
2025-02-02,1092
2025-02-09,943
2025-02-16,1056
2025-02-23,1283
2025-03-02,1060
2025-03-09,809
2025-03-16,777
2025-03-23,567
2025-03-30,851
2025-04-06,1112
2025-04-13,923
2025-04-20,1239
2025-04-27,1124
2025-05-04,1040
2025-05-11,954
2025-05-18,903
2025-05-25,418
2025-06-01,917
2025-06-08,1285
2025-06-15,2217
2025-06-22,2518
2025-06-29,1262
2025-07-06,1141
2025-07-13,1184
2025-07-20,1655
2025-07-27,1201
2025-08-03,1477
2025-08-10,1435
2025-08-17,1395
2025-08-24,1598
2025-08-31,1858
2025-09-07,1559
2025-09-14,829
2025-09-21,595
2025-09-28,945
2025-10-05,923
2025-10-12,1073
2025-10-19,1135
2025-10-26,850
2025-11-02,296
2025-11-09,123
2025-11-16,36
2025-11-23,14
2025-11-30,22
2025-12-07,5
2025-12-14,2
2025-12-21,1
